"EEP1";"EEP2";"EEP3";"EEP4";"EEP5";"EEP6";"EEP7";"EEP8";"EEP9";"EEP10";"Idade";"Sexo"
4;2;3;1;2;2;2;2;4;1;35;1
4;3;2;1;3;2;1;3;4;3;32;1
5;2;3;2;2;2;2;2;3;2;39;1
4;4;3;2;3;3;2;2;4;3;23;1
2;1;2;1;2;5;4;1;2;2;18;1
3;4;4;2;3;4;2;3;3;4;21;1
2;2;2;1;2;4;2;2;2;1;53;1
4;3;3;1;3;2;2;4;2;1;26;1
4;2;4;1;2;3;3;3;4;4;26;1
2;1;1;1;2;2;1;2;2;3;30;1
3;1;2;1;1;2;2;1;4;1;25;1
3;3;4;3;4;3;3;4;4;4;40;1
3;2;2;1;1;2;2;2;2;2;31;1
4;1;3;1;2;4;1;1;4;1;24;1
4;4;3;3;3;3;3;4;4;4;30;1
4;4;4;3;3;3;4;5;4;5;40;1
2;2;2;1;1;1;1;1;1;2;28;1
3;2;2;1;2;1;2;3;2;1;45;1
2;2;2;1;2;2;1;2;2;1;28;1
2;2;3;1;2;3;2;2;2;2;32;1
2;2;2;1;2;2;1;2;2;2;32;1
3;3;4;3;2;3;2;2;3;3;29;1
2;5;2;1;2;1;5;2;2;2;27;1
3;2;2;2;2;2;2;2;3;2;27;1
2;2;2;1;1;3;3;2;2;1;35;1
4;3;3;2;2;1;2;3;4;2;26;1
2;2;3;2;2;2;4;3;3;2;20;1
2;2;2;2;2;2;1;2;2;2;28;1
2;2;4;1;2;2;2;2;2;2;22;1
3;3;3;1;3;1;2;3;3;1;27;1
2;2;2;2;3;3;1;2;2;1;28;1
3;2;5;3;4;3;4;2;4;3;29;1
4;2;5;3;2;3;1;2;5;2;30;1
4;4;3;1;2;4;2;3;4;2;33;1
2;2;2;2;2;1;2;2;2;2;26;1
2;3;2;2;3;2;1;3;1;1;29;1
2;2;2;1;2;2;2;2;3;1;52;1
5;4;5;2;3;3;4;5;4;3;41;1
4;4;4;2;2;3;2;3;4;4;49;1
5;4;5;2;3;4;4;4;5;4;42;1
2;2;2;4;4;2;3;3;2;3;49;1
3;3;3;3;3;2;3;2;4;3;29;1
4;2;3;2;3;4;2;3;4;2;55;1
3;3;3;4;4;2;4;3;2;1;53;1
2;2;1;2;3;3;2;2;2;2;53;1
2;2;2;1;3;1;1;2;1;1;29;1
4;5;5;3;4;3;4;3;4;3;39;1
2;1;1;1;1;1;1;1;1;1;47;1
3;3;2;2;3;4;3;4;3;2;25;1
4;4;4;3;3;4;3;3;4;4;55;1
3;2;2;1;2;2;2;3;2;2;26;1
2;2;2;2;4;2;1;2;2;4;47;1
4;4;3;4;4;3;2;4;3;2;27;1
2;3;4;4;5;3;2;4;3;3;25;1
3;2;2;2;3;2;2;2;2;2;34;1
4;2;5;3;3;4;4;3;4;2;26;1
2;3;3;2;2;3;3;4;4;2;24;1
