"ESV1";"ESV2";"ESV3";"ESV4";"ESV5";"Idade";"Sexo"
5;5;5;6;2;35;1
4;4;5;5;2;32;1
5;5;5;6;5;39;1
4;3;3;4;2;23;1
2;7;4;6;4;18;1
4;5;4;3;3;21;1
7;7;7;7;7;53;1
4;4;5;4;6;26;1
6;5;5;6;6;26;1
4;7;2;6;4;24;1
6;6;6;6;4;30;1
6;7;6;6;4;25;1
4;4;5;6;6;40;1
5;6;5;6;5;31;1
3;4;3;7;6;24;1
3;2;4;4;6;30;1
1;3;3;3;6;40;1
4;4;4;4;6;27;1
7;7;7;7;7;28;1
4;4;5;5;6;45;1
7;6;6;7;7;28;1
7;7;7;7;7;32;1
5;5;5;5;1;65;1
7;6;4;4;3;32;1
5;5;5;6;6;29;1
6;5;7;6;5;27;1
5;6;5;6;2;27;1
5;4;5;6;6;35;1
6;6;6;6;5;26;1
7;6;5;6;7;27;1
5;4;4;6;6;20;1
4;4;5;4;4;28;1
5;7;6;7;4;22;1
7;7;6;7;7;27;1
3;4;4;4;3;28;1
5;4;4;5;2;29;1
4;5;4;5;3;30;1
7;7;7;7;6;33;1
6;7;7;7;7;33;1
7;7;7;7;2;26;1
2;7;5;5;5;29;1
5;5;4;5;5;52;1
2;5;3;2;3;41;1
5;4;5;4;4;49;1
4;5;5;4;1;42;1
6;6;6;6;1;49;1
2;2;3;3;3;29;1
4;4;3;5;2;55;1
6;5;6;6;4;53;1
5;5;6;6;6;53;1
5;5;5;5;5;29;1
4;3;3;3;2;39;1
6;6;6;6;6;47;1
3;4;4;7;6;25;1
1;5;2;4;2;55;1
3;6;6;3;7;26;1
3;3;6;6;6;47;1
3;3;3;3;3;27;1
4;3;2;1;6;25;1
4;4;7;4;6;34;1
2;3;4;5;3;26;1
4;2;5;5;3;24;1
5;3;2;5;1;21;1
7;6;7;6;7;30;1
5;5;6;6;4;53;1
7;7;7;7;7;27;1
4;6;5;6;5;34;1
6;6;6;6;6;59;1
5;5;5;7;6;23;1
3;5;3;4;2;31;1
1;4;1;1;1;23;1
6;7;6;7;6;51;1
5;7;7;7;7;33;1
5;5;6;5;6;29;1
4;5;5;3;5;27;1
7;6;7;7;6;63;1
5;3;5;5;1;21;1
4;5;6;5;5;60;1
1;2;3;4;1;23;1
2;2;1;2;1;47;1
1;1;1;7;1;25;1
6;5;6;6;4;29;1
1;1;1;1;1;25;1
7;6;7;7;6;30;1
5;5;3;3;3;27;1
2;7;6;6;6;21;1
6;6;6;7;6;35;1
4;2;4;4;2;25;1
1;1;1;1;3;30;1
2;1;1;1;1;29;1
4;4;4;4;2;62;1
5;6;5;6;6;36;1
3;2;6;5;2;34;1
1;1;1;2;1;19;1
2;5;4;5;1;19;1
4;4;6;4;4;21;1
5;3;4;6;5;28;1
6;6;7;7;7;18;1
3;3;2;6;4;23;1
5;7;6;7;7;20;1
7;7;7;6;6;28;1
1;1;1;1;1;33;1
2;5;2;4;3;25;1
3;3;3;2;1;31;1
5;5;6;7;6;25;1
4;4;2;2;2;29;1
5;5;5;5;4;30;1
2;3;2;1;7;24;1
5;5;4;5;4;27;1
1;2;1;2;7;18;1
5;3;3;6;5;24;1
2;4;5;4;1;36;1
7;7;7;7;7;25;1
3;5;4;5;6;26;1
5;5;5;5;1;36;1
5;5;5;5;5;28;1
6;6;6;7;4;33;1
5;5;5;4;4;26;1
6;4;5;5;6;19;1
5;4;3;3;2;25;1
4;5;6;4;4;19;1
4;6;4;5;2;27;1
5;5;5;5;3;26;2
5;5;6;7;7;25;2
5;5;5;7;7;27;2
5;7;6;6;7;26;2
1;1;1;1;1;28;2
3;2;3;6;3;23;2
5;5;5;6;6;30;2
6;6;6;7;6;22;2
4;4;5;5;5;24;2
6;6;6;6;6;58;2
6;6;6;7;7;42;2
4;5;5;7;5;37;2
3;3;4;7;7;20;2
5;5;5;5;1;23;2
4;4;4;5;2;31;2
3;5;3;5;3;19;2
6;6;6;6;6;38;2
4;3;4;6;2;25;2
6;6;6;6;6;24;2
4;4;4;6;4;25;2
6;7;6;7;5;20;2
5;7;7;7;7;23;2
6;6;7;7;6;31;2
7;7;7;7;7;30;2
6;5;6;7;7;36;2
3;2;2;4;7;30;2
4;5;5;7;5;27;2
4;4;3;6;3;26;2
6;6;6;6;5;48;2
6;5;7;7;7;24;2
5;7;6;7;5;28;2
4;4;3;3;1;21;2
6;5;6;6;6;45;2
6;7;6;7;5;38;2
7;7;7;7;7;21;2
2;2;2;2;2;54;2
6;6;6;6;6;23;2
4;3;4;6;5;27;2
4;7;5;7;6;27;2
2;1;2;3;3;39;2
6;7;7;7;5;50;2
5;7;6;7;4;23;2
6;7;6;6;4;21;2
3;5;5;6;7;18;2
2;4;2;1;1;24;2
5;5;6;6;6;32;2
5;5;5;6;4;26;2
1;1;1;4;1;39;2
6;6;6;7;7;52;2
6;4;4;7;5;30;2
4;1;3;1;3;31;2
3;4;3;3;2;22;2
4;4;5;7;7;26;2
6;6;6;6;3;55;2
4;3;3;7;5;42;2
2;6;4;6;3;28;2
6;5;6;6;6;28;2
3;5;5;3;2;33;2
6;5;6;7;7;31;2
5;5;4;6;3;29;2
5;5;5;6;6;38;2
7;6;5;7;6;33;2
3;5;4;4;3;27;2
6;7;7;7;6;47;2
6;6;5;7;4;26;2
5;5;4;4;5;32;2
5;5;4;6;4;27;2
7;4;6;7;6;20;2
5;6;6;6;6;25;2
4;5;6;5;2;46;2
5;7;7;5;7;26;2
3;5;5;7;3;55;2
5;4;5;7;7;28;2
6;6;6;6;3;38;2
6;6;6;6;5;36;2
2;4;2;7;1;30;2
5;6;5;7;5;28;2
